Button Pressed, 2020-06-23T20:48:19.943112300, Play
Button Pressed, 2020-06-23T20:48:22.017565300, draw twice
Button Pressed, 2020-06-23T20:48:26.696493100, end turn
Next Turn, 2020-06-23T20:48:26.697451200, 
Button Pressed, 2020-06-23T20:48:26.916865500, end turn
Next Turn, 2020-06-23T20:48:26.917877700, 
Button Pressed, 2020-06-23T20:48:31.142297100, end turn
Next Turn, 2020-06-23T20:48:31.142297100, 
Button Pressed, 2020-06-23T20:48:31.370667600, end turn
Next Turn, 2020-06-23T20:48:31.370667600, 
Button Pressed, 2020-06-23T20:48:31.634961800, end turn
Next Turn, 2020-06-23T20:48:31.635959300, 
Button Pressed, 2020-06-23T20:48:34.759938900, Goldshire Footman
Card Played, 2020-06-23T20:48:34.761923300, Goldshire Footman
quit, 2020-06-23T20:48:42.684634500, quit the game
login, 2020-06-23T20:49:14.874929700,  as  
Button Pressed, 2020-06-23T20:49:15.948545600, Collections
Button Pressed, 2020-06-23T20:49:19.472451800, Amir
Button Pressed, 2020-06-23T20:49:20.660179400, Play
Button Pressed, 2020-06-23T20:49:22.559919300, zombie
Button Pressed, 2020-06-23T20:49:25.494487200, end turn
Next Turn, 2020-06-23T20:49:25.495492600, 
Button Pressed, 2020-06-23T20:49:26.164252300, end turn
Next Turn, 2020-06-23T20:49:26.164252300, 
Button Pressed, 2020-06-23T20:49:26.351735, end turn
Next Turn, 2020-06-23T20:49:26.352732500, 
Button Pressed, 2020-06-23T20:49:26.587138300, end turn
Next Turn, 2020-06-23T20:49:26.587138300, 
Button Pressed, 2020-06-23T20:49:29.585437200, Goldshire Footman
Card Played, 2020-06-23T20:49:29.586435500, Goldshire Footman
quit, 2020-06-23T20:49:37.256596500, quit the game
login, 2020-06-23T20:49:54.609305700,  as  
Button Pressed, 2020-06-23T20:49:55.520477900, Collections
Button Pressed, 2020-06-23T20:49:59.643734500, Amir
Button Pressed, 2020-06-23T20:50:00.969666, Play
Button Pressed, 2020-06-23T20:50:03.093555100, nurse
Button Pressed, 2020-06-23T20:50:07.002816100, end turn
Next Turn, 2020-06-23T20:50:07.004811900, 
Button Pressed, 2020-06-23T20:50:07.246200400, end turn
Next Turn, 2020-06-23T20:50:07.247165600, 
Button Pressed, 2020-06-23T20:50:07.420700600, end turn
Next Turn, 2020-06-23T20:50:07.421698900, 
Button Pressed, 2020-06-23T20:50:07.649089600, end turn
Next Turn, 2020-06-23T20:50:07.650094700, 
Button Pressed, 2020-06-23T20:50:07.859529, end turn
Next Turn, 2020-06-23T20:50:07.860544300, 
Button Pressed, 2020-06-23T20:50:09.140196200, Goldshire Footman
Card Played, 2020-06-23T20:50:09.141202, Goldshire Footman
Button Pressed, 2020-06-23T20:50:12.328437800, Gnomish Army Knife
Card Played, 2020-06-23T20:50:12.328437800, Gnomish Army Knife
Button Pressed, 2020-06-23T20:50:15.725156900, end turn
Next Turn, 2020-06-23T20:50:15.726154800, 
Button Pressed, 2020-06-23T20:50:15.964533, end turn
Next Turn, 2020-06-23T20:50:15.965515100, 
Button Pressed, 2020-06-23T20:50:16.197894200, end turn
Next Turn, 2020-06-23T20:50:16.198896900, 
Button Pressed, 2020-06-23T20:50:20.288986900, Goldshire Footman
Card Played, 2020-06-23T20:50:20.290000200, Goldshire Footman
Button Pressed, 2020-06-23T20:50:25.913325800, Sunreaver Warmage
